elasticity_group,intercept,coeff_price,coeff_competitor,count
1 - Low Elasticity (Low Price Sensitive),0.39500631158606125,-0.004855492639102449,0.001378046693663602,14
2 - Medium Elasticity,0.7589845474818815,-0.013791580527915586,0.004343337141206295,13
3 - High Elasticity (Highly Price Sensitive),1.4525830707485643,-0.03336626240342184,0.012995785386098921,13
